# 60.0,40.0,5.0,lengthwise,50.0,2.0
x,y,type
50.0,27.0,0
49.0,27.0,0
48.0,27.0,0
47.0,27.0,0
46.0,27.0,0
45.0,27.0,0
44.0,27.0,0
43.0,27.0,0
42.0,27.0,0
41.0,27.0,0
40.0,27.0,0
39.0,27.0,0
38.0,27.0,0
37.0,27.0,0
36.0,27.0,0
35.0,27.0,0
34.0,27.0,0
33.0,27.0,0
32.0,27.0,0
31.0,27.0,0
30.0,27.0,0
29.0,27.0,0
28.0,27.0,0
27.0,27.0,0
26.0,27.0,0
25.0,27.0,0
24.0,27.0,0
23.0,27.0,0
22.0,27.0,0
21.0,27.0,0
20.0,27.0,0
19.0,27.0,0
18.0,27.0,0
17.0,27.0,0
16.0,27.0,0
15.0,27.0,0
14.0,27.0,0
13.0,27.0,0
12.0,27.0,0
11.0,27.0,0
10.0,27.0,0
9.0,27.0,0
8.0,27.0,0
7.0,27.0,0
6.0,27.0,0
5.0,27.0,0
4.0,27.0,0
3.0,27.0,0
2.0,27.0,0
1.0,27.0,0
0.0,27.0,0
0.0,27.0,1
-0.142,26.992,1
-0.283,26.968,1
-0.422,26.928,1
-0.56,26.872,1
-0.696,26.801,1
-0.829,26.715,1
-0.958,26.613,1
-1.083,26.498,1
-1.203,26.368,1
-1.318,26.225,1
-1.428,26.069,1
-1.531,25.902,1
-1.628,25.723,1
-1.718,25.533,1
-1.8,25.333,1
-1.875,25.125,1
-1.942,24.909,1
-2.0,24.685,1
-2.05,24.455,1
-2.091,24.221,1
-2.123,23.982,1
-2.147,23.739,1
-2.16,23.495,1
-2.165,23.25,1
-2.165,23.25,1
-2.165,22.855,1
-2.165,22.461,1
-2.165,22.066,1
-2.165,21.671,1
-2.165,21.276,1
-2.165,20.882,1
-2.165,20.487,1
-2.165,20.092,1
-2.165,19.697,1
-2.165,19.303,1
-2.165,18.908,1
-2.165,18.513,1
-2.165,18.118,1
-2.165,17.724,1
-2.165,17.329,1
-2.165,16.934,1
-2.165,16.539,1
-2.165,16.145,1
-2.165,15.75,1
-2.165,15.75,1
-2.16,15.505,1
-2.147,15.261,1
-2.123,15.018,1
-2.091,14.779,1
-2.05,14.545,1
-2.0,14.315,1
-1.942,14.091,1
-1.875,13.875,1
-1.8,13.667,1
-1.718,13.467,1
-1.628,13.277,1
-1.531,13.098,1
-1.428,12.931,1
-1.318,12.775,1
-1.203,12.632,1
-1.083,12.502,1
-0.958,12.387,1
-0.829,12.285,1
-0.696,12.199,1
-0.56,12.128,1
-0.422,12.072,1
-0.283,12.032,1
-0.142,12.008,1
0.0,12.0,1
0.0,12.0,0
1.0,12.0,0
2.0,12.0,0
3.0,12.0,0
4.0,12.0,0
5.0,12.0,0
6.0,12.0,0
7.0,12.0,0
8.0,12.0,0
9.0,12.0,0
10.0,12.0,0
11.0,12.0,0
12.0,12.0,0
13.0,12.0,0
14.0,12.0,0
15.0,12.0,0
16.0,12.0,0
17.0,12.0,0
18.0,12.0,0
19.0,12.0,0
20.0,12.0,0
21.0,12.0,0
22.0,12.0,0
23.0,12.0,0
24.0,12.0,0
25.0,12.0,0
26.0,12.0,0
27.0,12.0,0
28.0,12.0,0
29.0,12.0,0
30.0,12.0,0
31.0,12.0,0
32.0,12.0,0
33.0,12.0,0
34.0,12.0,0
35.0,12.0,0
36.0,12.0,0
37.0,12.0,0
38.0,12.0,0
39.0,12.0,0
40.0,12.0,0
41.0,12.0,0
42.0,12.0,0
43.0,12.0,0
44.0,12.0,0
45.0,12.0,0
46.0,12.0,0
47.0,12.0,0
48.0,12.0,0
49.0,12.0,0
50.0,12.0,0
51.0,12.0,0
52.0,12.0,0
