x_m,y_m
21.429,2.000
20.000,2.000
18.571,2.000
17.143,2.000
15.714,2.000
14.286,2.000
12.857,2.000
11.429,2.000
10.000,2.000
8.571,2.000
7.143,2.000
5.714,2.000
4.286,2.000
2.857,2.000
1.429,2.000
0.000,2.000
0.000,24.000
-0.585,23.984
-1.169,23.938
-1.750,23.860
-2.325,23.751
-2.894,23.612
-3.455,23.443
-4.006,23.245
-4.545,23.017
-5.072,22.761
-5.584,22.477
-6.081,22.166
-6.560,21.830
-7.021,21.468
-7.461,21.083
-7.881,20.674
-8.278,20.244
-8.652,19.793
-9.001,19.323
-9.325,18.835
-9.622,18.330
-9.892,17.810
-10.134,17.277
-10.348,16.732
-10.532,16.176
-10.686,15.611
-10.810,15.038
-10.903,14.460
-10.965,13.878
-10.996,13.293
-10.996,12.707
-10.965,12.122
-10.903,11.540
-10.810,10.962
-10.686,10.389
-10.532,9.824
-10.348,9.268
-10.134,8.723
-9.892,8.190
-9.622,7.670
-9.325,7.165
-9.001,6.677
-8.652,6.207
-8.278,5.756
-7.881,5.326
-7.461,4.917
-7.021,4.532
-6.560,4.170
-6.081,3.834
-5.584,3.523
-5.072,3.239
-4.545,2.983
-4.006,2.755
-3.455,2.557
-2.894,2.388
-2.325,2.249
-1.750,2.140
-1.169,2.062
-0.585,2.016
-0.000,2.000
0.000,24.000
1.429,24.000
2.857,24.000
4.286,24.000
5.714,24.000
7.143,24.000
8.571,24.000
10.000,24.000
11.429,24.000
12.857,24.000
14.286,24.000
15.714,24.000
17.143,24.000
18.571,24.000
20.000,24.000
21.429,24.000
22.857,24.000
24.286,24.000
25.714,24.000
27.143,24.000
28.571,24.000
30.000,24.000
31.429,24.000
32.857,24.000
34.286,24.000
35.714,24.000
37.143,24.000
38.571,24.000
40.000,24.000
41.429,24.000
42.857,24.000
44.286,24.000
45.714,24.000
47.143,24.000
48.571,24.000
50.000,24.000
51.429,24.000
52.857,24.000
54.286,24.000
55.714,24.000
57.143,24.000
58.571,24.000
60.000,24.000
61.429,24.000
62.857,24.000
64.286,24.000
65.714,24.000
67.143,24.000
68.571,24.000
70.000,24.000
70.000,24.000
70.479,23.987
70.957,23.949
71.432,23.885
71.902,23.797
72.368,23.683
72.827,23.545
73.277,23.382
73.719,23.196
74.150,22.986
74.569,22.754
74.975,22.500
75.367,22.224
75.744,21.929
76.105,21.613
76.448,21.279
76.773,20.927
77.079,20.558
77.365,20.173
77.630,19.774
77.873,19.361
78.094,18.936
78.292,18.499
78.466,18.053
78.617,17.598
78.743,17.136
78.844,16.668
78.920,16.195
78.971,15.718
78.997,15.240
78.997,14.760
78.971,14.282
78.920,13.805
78.844,13.332
78.743,12.864
78.617,12.402
78.466,11.947
78.292,11.501
78.094,11.064
77.873,10.639
77.630,10.226
77.365,9.827
77.079,9.442
76.773,9.073
76.448,8.721
76.105,8.387
75.744,8.071
75.367,7.776
74.975,7.500
74.569,7.246
74.150,7.014
73.719,6.804
73.277,6.618
72.827,6.455
72.368,6.317
71.902,6.203
71.432,6.115
70.957,6.051
70.479,6.013
70.000,6.000
70.000,6.000
68.571,6.000
67.143,6.000
65.714,6.000
64.286,6.000
62.857,6.000
61.429,6.000
60.000,6.000
58.571,6.000
57.143,6.000
55.714,6.000
54.286,6.000
52.857,6.000
51.429,6.000
50.000,6.000
48.571,6.000
47.143,6.000
45.714,6.000
44.286,6.000
42.857,6.000
41.429,6.000
40.000,6.000
38.571,6.000
37.143,6.000
35.714,6.000
34.286,6.000
32.857,6.000
31.429,6.000
30.000,6.000
28.571,6.000
27.143,6.000
25.714,6.000
24.286,6.000
22.857,6.000
21.429,6.000
20.000,6.000
18.571,6.000
17.143,6.000
15.714,6.000
14.286,6.000
12.857,6.000
11.429,6.000
10.000,6.000
8.571,6.000
7.143,6.000
5.714,6.000
4.286,6.000
2.857,6.000
1.429,6.000
0.000,6.000
0.000,28.000
-0.585,27.984
-1.169,27.938
-1.750,27.860
-2.325,27.751
-2.894,27.612
-3.455,27.443
-4.006,27.245
-4.545,27.017
-5.072,26.761
-5.584,26.477
-6.081,26.166
-6.560,25.830
-7.021,25.468
-7.461,25.083
-7.881,24.674
-8.278,24.244
-8.652,23.793
-9.001,23.323
-9.325,22.835
-9.622,22.330
-9.892,21.810
-10.134,21.277
-10.348,20.732
-10.532,20.176
-10.686,19.611
-10.810,19.038
-10.903,18.460
-10.965,17.878
-10.996,17.293
-10.996,16.707
-10.965,16.122
-10.903,15.540
-10.810,14.962
-10.686,14.389
-10.532,13.824
-10.348,13.268
-10.134,12.723
-9.892,12.190
-9.622,11.670
-9.325,11.165
-9.001,10.677
-8.652,10.207
-8.278,9.756
-7.881,9.326
-7.461,8.917
-7.021,8.532
-6.560,8.170
-6.081,7.834
-5.584,7.523
-5.072,7.239
-4.545,6.983
-4.006,6.755
-3.455,6.557
-2.894,6.388
-2.325,6.249
-1.750,6.140
-1.169,6.062
-0.585,6.016
-0.000,6.000
0.000,28.000
1.429,28.000
2.857,28.000
4.286,28.000
5.714,28.000
7.143,28.000
8.571,28.000
10.000,28.000
11.429,28.000
12.857,28.000
14.286,28.000
15.714,28.000
17.143,28.000
18.571,28.000
20.000,28.000
21.429,28.000
22.857,28.000
24.286,28.000
25.714,28.000
27.143,28.000
28.571,28.000
30.000,28.000
31.429,28.000
32.857,28.000
34.286,28.000
35.714,28.000
37.143,28.000
38.571,28.000
40.000,28.000
41.429,28.000
42.857,28.000
44.286,28.000
45.714,28.000
47.143,28.000
48.571,28.000
50.000,28.000
51.429,28.000
52.857,28.000
54.286,28.000
55.714,28.000
57.143,28.000
58.571,28.000
60.000,28.000
61.429,28.000
62.857,28.000
64.286,28.000
65.714,28.000
67.143,28.000
68.571,28.000
70.000,28.000
70.000,28.000
70.479,27.987
70.957,27.949
71.432,27.885
71.902,27.797
72.368,27.683
72.827,27.545
73.277,27.382
73.719,27.196
74.150,26.986
74.569,26.754
74.975,26.500
75.367,26.224
75.744,25.929
76.105,25.613
76.448,25.279
76.773,24.927
77.079,24.558
77.365,24.173
77.630,23.774
77.873,23.361
78.094,22.936
78.292,22.499
78.466,22.053
78.617,21.598
78.743,21.136
78.844,20.668
78.920,20.195
78.971,19.718
78.997,19.240
78.997,18.760
78.971,18.282
78.920,17.805
78.844,17.332
78.743,16.864
78.617,16.402
78.466,15.947
78.292,15.501
78.094,15.064
77.873,14.639
77.630,14.226
77.365,13.827
77.079,13.442
76.773,13.073
76.448,12.721
76.105,12.387
75.744,12.071
75.367,11.776
74.975,11.500
74.569,11.246
74.150,11.014
73.719,10.804
73.277,10.618
72.827,10.455
72.368,10.317
71.902,10.203
71.432,10.115
70.957,10.051
70.479,10.013
70.000,10.000
70.000,10.000
68.571,10.000
67.143,10.000
65.714,10.000
64.286,10.000
62.857,10.000
61.429,10.000
60.000,10.000
58.571,10.000
57.143,10.000
55.714,10.000
54.286,10.000
52.857,10.000
51.429,10.000
50.000,10.000
48.571,10.000
47.143,10.000
45.714,10.000
44.286,10.000
42.857,10.000
41.429,10.000
40.000,10.000
38.571,10.000
37.143,10.000
35.714,10.000
34.286,10.000
32.857,10.000
31.429,10.000
30.000,10.000
28.571,10.000
27.143,10.000
25.714,10.000
24.286,10.000
22.857,10.000
21.429,10.000
20.000,10.000
18.571,10.000
17.143,10.000
15.714,10.000
14.286,10.000
12.857,10.000
11.429,10.000
10.000,10.000
8.571,10.000
7.143,10.000
