x,y
30.192555791798178,10.0
29.68835411112591,10.0
29.184152430453643,10.0
28.67995074978137,10.0
28.175749069109102,10.0
27.671547388436835,10.0
27.167345707764568,10.0
26.6631440270923,10.0
26.158942346420027,10.0
25.65474066574776,10.0
25.150538985075492,10.0
24.646337304403218,10.0
24.14213562373095,10.0
24.14213562373095,25.0
24.646337304403218,25.0
25.15053898507549,25.0
25.65474066574776,25.0
26.158942346420027,25.0
26.663144027092294,25.0
27.167345707764564,25.0
27.671547388436835,25.0
28.175749069109102,25.0
28.67995074978137,25.0
29.18415243045364,25.0
29.68835411112591,25.0
30.192555791798178,25.0
30.696757472470445,25.0
31.200959153142716,25.0
31.705160833814986,25.0
32.20936251448725,25.0
32.71356419515952,25.0
33.21776587583179,25.0
33.72196755650406,25.0
34.22616923717633,25.0
34.730370917848596,25.0
35.23457259852087,25.0
35.73877427919314,25.0
36.242975959865404,25.0
36.74717764053767,25.0
37.25137932120994,25.0
37.75558100188221,25.0
38.25978268255448,25.0
38.76398436322675,25.0
39.26818604389902,25.0
39.77238772457129,25.0
40.276589405243556,25.0
40.78079108591582,25.0
41.28499276658809,25.0
41.789194447260364,25.0
42.29339612793263,25.0
42.7975978086049,25.0
43.30179948927717,25.0
43.80600116994944,25.0
44.31020285062171,25.0
44.814404531293974,25.0
45.31860621196624,25.0
45.822807892638515,25.0
46.32700957331078,25.0
46.83121125398305,25.0
47.335412934655324,25.0
47.83961461532759,25.0
48.34381629599986,25.0
48.848017976672125,25.0
49.35221965734439,25.0
49.856421338016666,25.0
50.36062301868893,25.0
50.8648246993612,25.0
51.369026380033475,25.0
51.87322806070574,25.0
52.37742974137801,25.0
52.881631422050276,25.0
53.38583310272254,25.0
53.89003478339482,25.0
54.394236464067085,25.0
54.89843814473935,25.0
55.402639825411626,25.0
55.90684150608389,25.0
56.41104318675616,25.0
56.91524486742843,25.0
57.419446548100694,25.0
57.92364822877297,25.0
58.427849909445236,25.0
58.9320515901175,25.0
59.43625327078978,25.0
59.940454951462044,25.0
60.44465663213431,25.0
60.94885831280658,25.0
61.453059993478846,25.0
61.95726167415112,25.0
62.46146335482339,25.0
62.965665035495654,25.0
63.46986671616793,25.0
63.974068396840195,25.0
64.47827007751246,25.0
64.98247175818473,25.0
65.486673438857,25.0
65.99087511952928,25.0
66.49507680020153,25.0
66.99927848087381,25.0
67.50348016154608,25.0
68.00768184221835,25.0
68.51188352289061,25.0
69.01608520356288,25.0
69.52028688423515,25.0
70.02448856490741,25.0
70.5286902455797,25.0
71.03289192625195,25.0
71.53709360692423,25.0
72.0412952875965,25.0
72.54549696826876,25.0
73.04969864894103,25.0
73.5539003296133,25.0
74.05810201028558,25.0
74.56230369095783,25.0
75.06650537163011,25.0
75.57070705230238,25.0
76.07490873297465,25.0
76.57911041364692,25.0
77.08331209431918,25.0
77.58751377499145,25.0
78.09171545566372,25.0
78.595917136336,25.0
79.10011881700825,25.0
79.60432049768053,25.0
80.1085221783528,25.0
80.61272385902507,25.0
81.11692553969733,25.0
81.6211272203696,25.0
82.12532890104188,25.0
82.62953058171414,25.0
83.13373226238642,25.0
83.63793394305868,25.0
84.14213562373095,25.0
84.14213562373095,5.0
84.69338417718066,5.127701752370736
85.22586062229242,5.506458279467331
85.72143211236302,6.123371482027895
86.16322255467063,6.957433120845057
86.53618730557167,7.980240227155578
86.82762549779613,9.156962331675963
87.02761255324941,10.447527574459379
87.12933815261606,11.807987304025236
87.12933815261606,13.192012695974764
87.02761255324941,14.552472425540621
86.82762549779613,15.843037668324037
86.53618730557167,17.019759772844424
86.16322255467063,18.042566879154943
85.72143211236302,18.876628517972108
85.22586062229242,19.49354172053267
84.69338417718066,19.872298247629264
