x,y,type
-11.169355194060714,27.941068875764365,turn
-11.036135134241789,28.611780381083168,turn
3.59687364248454,32.75,turn
3.8979157616563596,31.89791576165636,turn
4.0,31.0,turn
0.0,35.0,row
0.5042016806722689,35.0,row
1.0084033613445378,35.0,row
1.5126050420168067,35.0,row
2.0168067226890756,35.0,row
2.5210084033613445,35.0,row
3.0252100840336134,35.0,row
3.5294117647058822,35.0,row
4.033613445378151,35.0,row
4.53781512605042,35.0,row
5.042016806722689,35.0,row
5.546218487394958,35.0,row
6.050420168067227,35.0,row
6.554621848739496,35.0,row
7.0588235294117645,35.0,row
7.563025210084033,35.0,row
8.067226890756302,35.0,row
8.571428571428571,35.0,row
9.07563025210084,35.0,row
9.579831932773109,35.0,row
10.084033613445378,35.0,row
10.588235294117647,35.0,row
11.092436974789916,35.0,row
11.596638655462185,35.0,row
12.100840336134453,35.0,row
12.605042016806722,35.0,row
13.109243697478991,35.0,row
13.61344537815126,35.0,row
14.117647058823529,35.0,row
14.621848739495798,35.0,row
15.126050420168067,35.0,row
15.630252100840336,35.0,row
16.134453781512605,35.0,row
16.63865546218487,35.0,row
17.142857142857142,35.0,row
17.647058823529413,35.0,row
18.15126050420168,35.0,row
18.655462184873947,35.0,row
19.159663865546218,35.0,row
19.66386554621849,35.0,row
20.168067226890756,35.0,row
20.672268907563023,35.0,row
21.176470588235293,35.0,row
21.680672268907564,35.0,row
22.18487394957983,35.0,row
22.6890756302521,35.0,row
23.19327731092437,35.0,row
23.69747899159664,35.0,row
24.201680672268907,35.0,row
24.705882352941174,35.0,row
25.210084033613445,35.0,row
25.714285714285715,35.0,row
26.218487394957982,35.0,row
26.72268907563025,35.0,row
27.22689075630252,35.0,row
27.73109243697479,35.0,row
28.235294117647058,35.0,row
28.739495798319325,35.0,row
29.243697478991596,35.0,row
29.747899159663866,35.0,row
30.252100840336134,35.0,row
30.7563025210084,35.0,row
31.26050420168067,35.0,row
31.764705882352942,35.0,row
32.26890756302521,35.0,row
32.773109243697476,35.0,row
33.27731092436974,35.0,row
33.78151260504202,35.0,row
34.285714285714285,35.0,row
34.78991596638655,35.0,row
35.294117647058826,35.0,row
35.79831932773109,35.0,row
36.30252100840336,35.0,row
36.80672268907563,35.0,row
37.310924369747895,35.0,row
37.81512605042017,35.0,row
38.319327731092436,35.0,row
38.8235294117647,35.0,row
39.32773109243698,35.0,row
39.831932773109244,35.0,row
